순위,시군구명,법정동명,법정동코드,LDRI_raw,점수,총점_raw,총점
352,종로구,종로2가,1111013800,,0,,
353,종로구,종로4가,1111016100,,0,,
354,중구,입정동,1114015600,,0,,
355,종로구,와룡동,1111013000,,0,,
356,중구,을지로5가,1114015100,,0,,
357,중구,인현동2가,1114013400,,0,,
358,중구,주교동,1114015200,,0,,
359,중구,오장동,1114015400,,0,,
360,중구,을지로4가,1114015000,,0,,
361,중구,광희동1가,1114014500,,0,,
362,중구,저동2가,1114016100,,0,,
363,강남구,수서동,1168011500,,0.1467,,
364,중구,산림동,1114015700,,0,,
365,중구,을지로3가,1114015500,,0,,
366,중구,초동,1114015900,,0,,
367,종로구,종로6가,1111016400,,0,,
368,종로구,종로5가,1111016300,,0,,
369,종로구,효제동,1111016200,,0,,
370,중구,방산동,1114015300,,0,,
371,중구,인현동1가,1114016000,,0,,
372,중구,충무로4가,1114013200,,0,,
373,중구,충무로5가,1114013300,,0,,
374,중구,을지로7가,1114014900,,0,,
375,중구,흥인동,1114016300,,0,,
376,중구,남창동,1114011200,,0,,
377,중구,남대문로5가,1114011800,,0,,
378,중구,충무로3가,1114015800,,0,,
379,중구,필동1가,1114013700,,0,,
380,강서구,개화동,1150011000,,0.0291,,
381,중구,예관동,1114013500,,0,,
382,중구,남학동,1114014000,,0,,
383,중구,순화동,1114016800,,0,,
384,중구,주자동,1114014100,,0,,
385,성북구,동소문동5가,1129010800,,0,,
386,성북구,동소문동2가,1129010500,,0,,
387,영등포구,당산동5가,1156011500,,0,,
388,서초구,원지동,1165010400,,0,,
389,서대문구,합동,1141010300,,0,,
390,용산구,용산동5가,1117012700,,0,,
391,중구,정동,1114016700,,0,,
392,중구,의주로1가,1114016900,,0,,
393,서대문구,미근동,1141010400,,0,,
394,중구,봉래동1가,1114011900,,0,,
395,중구,북창동,1114011300,,0,,
396,성동구,상왕십리동,1120010100,,0.0194,,
397,성북구,동소문동3가,1129010600,,0,,
398,중구,태평로2가,1114011400,,0,,
399,용산구,청암동,1117011600,,0,,
400,중구,명동2가,1114012700,,0,,
401,마포구,신정동,1144011700,,0,,
402,종로구,중학동,1111012500,,0,,
403,서대문구,현저동,1141010900,,0.0556,,
404,중구,충무로2가,1114012500,,0,,
405,중구,서소문동,1114016600,,0,,
406,강동구,강일동,1174011000,,0.8002,,
407,중구,회현동3가,1114012300,,0,,
408,중구,남산동3가,1114013000,,0,,
409,종로구,당주동,1111011700,,0,,
410,종로구,통의동,1111010600,,0,,
411,중구,남산동1가,1114012800,,0,,
412,송파구,장지동,1171010900,,0,,
413,종로구,평동,1111017700,,0,,
414,종로구,삼청동,1111014000,,0,,
415,종로구,교북동,1111018000,,0,,
416,종로구,송월동,1111017800,,0,,
417,종로구,팔판동,1111013900,,0,,
418,종로구,교남동,1111017600,,0,,
419,중구,을지로2가,1114010500,,0,,
420,종로구,화동,1111014300,,0,,
421,종로구,재동,1111014700,,0,,
422,종로구,신문로1가,1111012000,,0,,
423,종로구,내자동,1111011400,,0,,
424,종로구,사간동,1111014400,,0,,
425,종로구,소격동,1111014200,,0,,
426,종로구,궁정동,1111010300,,0,,
