법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,LDRI,위험유형,차원비교유형
1171010800,송파구,문정동,주거비관측,0.379637,0.1949,37.079766,안정형,CI 낮음 / 주거비 낮음
1171010400,송파구,송파동,주거비관측,0.370704,0.196,36.363162,안정형,CI 낮음 / 주거비 낮음
1171010100,송파구,잠실동,주거비관측,0.267191,0.199,25.889249,안정형,CI 낮음 / 주거비 낮음
1171010300,송파구,풍납동,주거비관측,0.334919,0.1845,30.523234,안정형,CI 낮음 / 주거비 낮음
1147010200,양천구,목동,주거비관측,0.279104,0.1819,24.598214,안정형,CI 낮음 / 주거비 낮음
1147010300,양천구,신월동,주거비관측,0.369553,0.1724,31.554296,안정형,CI 낮음 / 주거비 낮음
1147010100,양천구,신정동,주거비관측,0.315273,0.1922,29.87979,안정형,CI 낮음 / 주거비 낮음
1156013300,영등포구,대림동,주거비관측,0.386412,0.1718,32.991844,안정형,CI 낮음 / 주거비 낮음
1156011900,영등포구,문래동1가,주거비관측,0.258563,0.1959,24.53559,안정형,CI 낮음 / 주거비 낮음
1156012100,영등포구,문래동3가,주거비관측,0.271339,0.1887,24.830731,안정형,CI 낮음 / 주거비 낮음
1117012000,용산구,도원동,주거비관측,0.387106,0.1373,25.877757,안정형,CI 낮음 / 주거비 낮음
1117011800,용산구,원효로4가,주거비관측,0.382677,0.197,37.830166,안정형,CI 낮음 / 주거비 낮음
1138010500,은평구,구산동,주거비관측,0.35283,0.183,32.014933,안정형,CI 낮음 / 주거비 낮음
1138010900,은평구,신사동,주거비관측,0.354646,0.1758,30.821078,안정형,CI 낮음 / 주거비 낮음
1138010800,은평구,역촌동,주거비관측,0.381936,0.1987,38.100732,안정형,CI 낮음 / 주거비 낮음
1138010700,은평구,응암동,주거비관측,0.375552,0.1749,32.614857,안정형,CI 낮음 / 주거비 낮음
1138011400,은평구,진관동,주거비관측,0.288944,0.137,18.587215,안정형,CI 낮음 / 주거비 낮음
1111014600,종로구,가회동,주거비관측,0.313893,0.1588,24.102243,안정형,CI 낮음 / 주거비 낮음
1111014800,종로구,계동,주거비관측,0.312389,0.1877,28.826339,안정형,CI 낮음 / 주거비 낮음
1111011000,종로구,누하동,주거비관측,0.305773,0.1561,22.965478,안정형,CI 낮음 / 주거비 낮음
1111018700,종로구,무악동,주거비관측,0.257106,0.1085,12.304385,안정형,CI 낮음 / 주거비 낮음
1111018400,종로구,부암동,주거비관측,0.291163,0.1883,26.778834,안정형,CI 낮음 / 주거비 낮음
1111011500,종로구,사직동,주거비관측,0.342613,0.1782,30.126008,안정형,CI 낮음 / 주거비 낮음
1111010200,종로구,신교동,주거비관측,0.305184,0.1949,29.280403,안정형,CI 낮음 / 주거비 낮음
1111014100,종로구,안국동,주거비관측,0.309378,0.1062,14.970243,안정형,CI 낮음 / 주거비 낮음
1111014900,종로구,원서동,주거비관측,0.314286,0.1957,30.369039,안정형,CI 낮음 / 주거비 낮음
1111010500,종로구,창성동,주거비관측,0.303362,0.1194,16.779149,안정형,CI 낮음 / 주거비 낮음
1111011200,종로구,체부동,주거비관측,0.340325,0.1855,31.242234,안정형,CI 낮음 / 주거비 낮음
1111011300,종로구,필운동,주거비관측,0.342233,0.1821,30.807024,안정형,CI 낮음 / 주거비 낮음
1114012900,중구,남산동2가,주거비관측,0.384289,0.0438,6.357592,안정형,CI 낮음 / 주거비 낮음
1126010400,중랑구,묵동,주거비관측,0.36807,0.1668,30.308987,안정형,CI 낮음 / 주거비 낮음
1168010300,강남구,개포동,주거비관측,0.252286,0.2113,25.962905,이탈진행형,CI 낮음 / 주거비 높음
1168010600,강남구,대치동,주거비관측,0.235725,0.2146,24.500195,이탈진행형,CI 낮음 / 주거비 높음
1168011100,강남구,세곡동,주거비관측,0.375236,0.2228,42.245723,이탈진행형,CI 낮음 / 주거비 높음
1168011400,강남구,일원동,주거비관측,0.302361,0.2293,34.57519,이탈진행형,CI 낮음 / 주거비 높음
1168010400,강남구,청담동,주거비관측,0.292976,0.233,34.001172,이탈진행형,CI 낮음 / 주거비 높음
1174010200,강동구,고덕동,주거비관측,0.229209,0.283,32.175205,이탈진행형,CI 낮음 / 주거비 높음
1174010800,강동구,성내동,주거비관측,0.392661,0.2022,39.98474,이탈진행형,CI 낮음 / 주거비 높음
1150010600,강서구,내발산동,주거비관측,0.279101,0.2136,29.353301,이탈진행형,CI 낮음 / 주거비 높음
1150010500,강서구,마곡동,주거비관측,0.383458,0.2384,46.445561,이탈진행형,CI 낮음 / 주거비 높음
1121510400,광진구,광장동,주거비관측,0.192192,0.2334,21.420978,이탈진행형,CI 낮음 / 주거비 높음
1121510500,광진구,자양동,주거비관측,0.392795,0.2018,39.914871,이탈진행형,CI 낮음 / 주거비 높음
1153010600,구로구,고척동,주거비관측,0.340844,0.2296,39.372953,이탈진행형,CI 낮음 / 주거비 높음
1153010100,구로구,신도림동,주거비관측,0.25536,0.2304,28.93354,이탈진행형,CI 낮음 / 주거비 높음
1153011000,구로구,온수동,주거비관측,0.336991,0.2016,33.825984,이탈진행형,CI 낮음 / 주거비 높음
1154510300,금천구,시흥동,주거비관측,0.395848,0.2045,40.820462,이탈진행형,CI 낮음 / 주거비 높음
