LDRI_rank,법정동코드,시군구명,법정동명,CI,주거비_압박지수,LDRI_raw,LDRI,LDRI_등급,위험유형
251,1147010300,양천구,신월동,0.369553,0.1724,0.1673,32.087629,낮음,안정형
252,1165010300,서초구,우면동,0.356908,0.1781,0.167267,32.08141,낮음,안정형
253,1174010700,강동구,암사동,0.32815,0.1921,0.166644,31.961813,낮음,안정형
254,1117013400,용산구,주성동,0.295183,0.2123,0.166585,31.950598,낮음,이탈진행형
255,1111011200,종로구,체부동,0.340325,0.1855,0.166542,31.942316,낮음,안정형
256,1129011900,성북구,동선동4가,0.546772,0.1188,0.165529,31.747981,낮음,잠재위험형
257,1123010100,동대문구,신설동,0.474316,0.1353,0.165491,31.740745,낮음,잠재위험형
258,1120010900,성동구,금호동1가,0.346527,0.1812,0.165408,31.724794,낮음,안정형
259,1111010400,종로구,효자동,0.304015,0.2045,0.164935,31.634061,낮음,이탈진행형
260,1132010800,도봉구,도봉동,0.377193,0.1665,0.164532,31.55674,낮음,안정형
261,1111011300,종로구,필운동,0.342233,0.1821,0.16422,31.496938,낮음,안정형
262,1138010900,은평구,신사동,0.354646,0.1758,0.163925,31.440359,낮음,안정형
263,1171010300,송파구,풍납동,0.334919,0.1845,0.16296,31.255195,낮음,안정형
264,1111014900,종로구,원서동,0.314286,0.1957,0.162769,31.218614,낮음,안정형
265,1153010900,구로구,궁동,0.33712,0.1825,0.162144,31.0987,매우낮음,안정형
266,1129013300,성북구,정릉동,0.359532,0.1711,0.161455,30.966679,매우낮음,안정형
267,1126010400,중랑구,묵동,0.36807,0.1668,0.160861,30.852713,매우낮음,안정형
268,1111011500,종로구,사직동,0.342613,0.1782,0.160664,30.814831,매우낮음,안정형
269,1168011200,강남구,자곡동,0.375311,0.1634,0.160456,30.774944,매우낮음,안정형
270,1147010100,양천구,신정동,0.315273,0.1922,0.160193,30.724517,매우낮음,안정형
271,1132010600,도봉구,방학동,0.36889,0.1658,0.160187,30.7235,매우낮음,안정형
272,1168010500,강남구,삼성동,0.316759,0.191,0.159884,30.665342,매우낮음,안정형
273,1150010600,강서구,내발산동,0.279101,0.2136,0.158525,30.404616,매우낮음,이탈진행형
274,1111010200,종로구,신교동,0.305184,0.1949,0.157372,30.183464,매우낮음,안정형
275,1174010600,강동구,둔촌동,0.31361,0.1896,0.157066,30.124918,매우낮음,안정형
276,1153010100,구로구,신도림동,0.25536,0.2304,0.157044,30.120561,매우낮음,이탈진행형
277,1141011000,서대문구,북아현동,0.398638,0.1508,0.156375,29.992237,매우낮음,안정형
278,1117012200,용산구,문배동,0.45947,0.1312,0.15504,29.7363,매우낮음,잠재위험형
279,1111014800,종로구,계동,0.312389,0.1877,0.154794,29.689123,매우낮음,안정형
280,1111017100,종로구,명륜2가,0.472495,0.1273,0.15428,29.590399,매우낮음,잠재위험형
281,1171010700,송파구,가락동,0.280242,0.2036,0.151332,29.025011,매우낮음,이탈진행형
282,1156011200,영등포구,당산동2가,0.464703,0.1268,0.151085,28.977693,매우낮음,잠재위험형
