법정동코드,법정동코드8,시군구명,법정동명,CI,주거비자료_매칭여부,관측품질,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_rank,LDRI_등급,위험유형,차원비교유형
1165011100,11650111,서초구,신원동,0.298147,매칭,주거비관측,0.1893,0.1893,0.056439,27.645833,286,매우낮음,안정형,CI 낮음 / 주거비 낮음
1165010200,11650102,서초구,양재동,0.393245,매칭,주거비관측,0.2208,0.2208,0.086828,43.979583,120,높음,이탈진행형,CI 낮음 / 주거비 높음
1165011000,11650110,서초구,염곡동,0.296663,매칭,주거비관측,0.1094,0.1094,0.032455,14.75475,324,매우낮음,안정형,CI 낮음 / 주거비 낮음
1165010300,11650103,서초구,우면동,0.356908,매칭,주거비관측,0.1781,0.1781,0.063565,31.476024,254,낮음,안정형,CI 낮음 / 주거비 낮음
1165010400,11650104,서초구,원지동,0.414636,미매칭,주거비자료없음,,,,,,,,
1165010600,11650106,서초구,잠원동,0.223655,매칭,주거비관측,0.2009,0.2009,0.044932,21.46108,311,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1120010900,11200109,성동구,금호동1가,0.346527,매칭,주거비관측,0.1812,0.1812,0.062791,31.059705,258,낮음,안정형,CI 낮음 / 주거비 낮음
1120011000,11200110,성동구,금호동2가,0.332671,매칭,주거비관측,0.2694,0.2694,0.089622,45.480865,104,높음,이탈진행형,CI 낮음 / 주거비 높음
1120011100,11200111,성동구,금호동3가,0.332533,매칭,주거비관측,0.2302,0.2302,0.076549,38.454611,183,보통,이탈진행형,CI 낮음 / 주거비 높음
1120011200,11200112,성동구,금호동4가,0.330416,매칭,주거비관측,0.1736,0.1736,0.05736,28.140924,282,매우낮음,안정형,CI 낮음 / 주거비 낮음
1120010400,11200104,성동구,도선동,0.385829,매칭,주거비관측,0.2023,0.2023,0.078053,39.263077,176,보통,이탈진행형,CI 낮음 / 주거비 높음
1120010500,11200105,성동구,마장동,0.409801,매칭,주거비관측,0.1747,0.1747,0.071592,35.790346,213,낮음,잠재위험형,CI 높음 / 주거비 낮음
1120010600,11200106,성동구,사근동,0.592632,매칭,주거비관측,0.2053,0.2053,0.121667,62.704869,29,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1120010100,11200101,성동구,상왕십리동,0.385692,미매칭,주거비자료없음,,,,,,,,
1120011400,11200114,성동구,성수동1가,0.379821,매칭,주거비관측,0.1987,0.1987,0.07547,37.874817,191,보통,안정형,CI 낮음 / 주거비 낮음
1120011500,11200115,성동구,성수동2가,0.40936,매칭,주거비관측,0.2227,0.2227,0.091165,46.310135,96,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1120011800,11200118,성동구,송정동,0.512113,매칭,주거비관측,0.2151,0.2151,0.110155,56.517417,50,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1120011300,11200113,성동구,옥수동,0.28543,매칭,주거비관측,0.2353,0.2353,0.067162,33.408975,236,낮음,이탈진행형,CI 낮음 / 주거비 높음
1120012200,11200122,성동구,용답동,0.574601,매칭,주거비관측,0.2804,0.2804,0.161118,83.909075,8,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
